headline,link,time
আত্মহত্যার পর মুমূর্ষু রোগী সাজিয়ে স্কুলছাত্রীকে নেয়া হয় হাসপাতালে,https://www.jugantor.com/country-news/391874/আত্মহত্যার-পর-মুমূর্ষু-রোগী-সাজিয়ে-স্কুলছাত্রীকে-নেয়া-হয়-হাসপাতালে,"৯ ফেব্রুয়ারি, ২০২১"
ভ্রমণ শেষে ফেরার পথে বাসের চাকায় পিষ্ট কিশোর,https://www.jugantor.com/country-news/391080/ভ্রমণ-শেষে-ফেরার-পথে-বাসের-চাকায়-পিষ্ট-কিশোর,"৬ ফেব্রুয়ারি, ২০২১"
"অন্যকে ফাঁসাতে ছেলেকে গুম, ফেঁসে গেলেন বাবা",https://www.jugantor.com/country-news/389201/অন্যকে-ফাঁসাতে-ছেলেকে-গুম-ফেঁসে-গেলেন-বাবা,"০ জানুয়ারি, ২০২১"
ঘরের আড়ার সঙ্গে ঝুলছিল যুবকের লাশ,https://www.jugantor.com/country-news/388781/ঘরের-আড়ার-সঙ্গে-ঝুলছিল-যুবকের-লাশ,"৯ জানুয়ারি, ২০২১"
বিশ্বের সেরা বিজ্ঞানীর তালিকায় বাংলাদেশি অধ্যাপক ড. সাইফুল,https://www.jugantor.com/campus/382571/বিশ্বের-সেরা-বিজ্ঞানীর-তালিকায়-বাংলাদেশি-অধ্যাপক-ড.-সাইফুল,"০ জানুয়ারি, ২০২১"
"বিবাহিতদের দিয়ে ছাত্রদলের কমিটি, তৃণমূল নেতাকর্মীদের প্রত্যাখ্যান",https://www.jugantor.com/country-news/378739/বিবাহিতদের-দিয়ে-ছাত্রদলের-কমিটি-তৃণমূল-নেতাকর্মীদের-প্রত্যাখ্যান,"৯ ডিসেম্বর, ২০২০"
প্রধান শিক্ষকের বিরুদ্ধে অপপ্রচারে নিন্দা ও প্রতিবাদ,https://www.jugantor.com/country-news/373523/প্রধান-শিক্ষকের-বিরুদ্ধে-অপপ্রচারে-নিন্দা-ও-প্রতিবাদ,"২ ডিসেম্বর, ২০২০"
পটুয়াখালীতে মোটরসাইকেলের ধাক্কায় ইউপি সদস্য নিহত,https://www.jugantor.com/country-news/373112/পটুয়াখালীতে-মোটরসাইকেলের-ধাক্কায়-ইউপি-সদস্য-নিহত,"১ ডিসেম্বর, ২০২০"
দুমকিতে বায়োফ্লক পদ্ধতিতে মাছ চাষে ঝুঁকছেন বেকার তরুণরা,https://www.jugantor.com/country-news/372507/দুমকিতে-বায়োফ্লক-পদ্ধতিতে-মাছ-চাষে-ঝুঁকছেন-বেকার-তরুণরা,"৯ ডিসেম্বর, ২০২০"
৪১ দিন পাঁচ ওয়াক্ত নামাজ পড়ে সাইকেল পেল ১৮ কিশোর,https://www.jugantor.com/country-news/371069/৪১-দিন-পাঁচ-ওয়াক্ত-নামাজ-পড়ে-সাইকেল-পেল-১৮-কিশোর,"৪ ডিসেম্বর, ২০২০"
পবিপ্রবিতে স্বজনপ্রীতি ও নিয়োগ বাণিজ্যের অভিযোগে ছাত্রলীগের বিক্ষোভ,https://www.jugantor.com/country-news/370162/পবিপ্রবিতে-স্বজনপ্রীতি-ও-নিয়োগ-বাণিজ্যের-অভিযোগে-ছাত্রলীগের-বিক্ষোভ,"১ ডিসেম্বর, ২০২০"
পটুয়াখালীতে বিদেশি মদসহ যুবক গ্রেফতার,https://www.jugantor.com/country-news/368866/পটুয়াখালীতে-বিদেশি-মদসহ-যুবক-গ্রেফতার,"৭ নভেম্বর, ২০২০"
দুমকিতে সড়ক দুর্ঘটনায় চাচা-ভাতিজা নিহত,https://www.jugantor.com/country-news/366636/দুমকিতে-সড়ক-দুর্ঘটনায়-চাচাভাতিজা-নিহত,"০ নভেম্বর, ২০২০"
দুমকিতে ৯ হাজার ইয়াবাসহ যুবক আটক,https://www.jugantor.com/country-news/365529/দুমকিতে-৯-হাজার-ইয়াবাসহ-যুবক-আটক,"৭ নভেম্বর, ২০২০"
"দুমকিতে মোটরসাইকেলে ইয়াবার চালান, যুবক আটক",https://www.jugantor.com/country-news/364871/দুমকিতে-মোটরসাইকেলে-ইয়াবার-চালান-যুবক-আটক,"৫ নভেম্বর, ২০২০"
পটুয়াখালীতে শিশুকে গাড়িচাপা দিয়ে পালানোর সময় সওজের প্রকৌশলী আটক,https://www.jugantor.com/country-news/362040/পটুয়াখালীতে-শিশুকে-গাড়িচাপা-দিয়ে-পালানোর-সময়-সওজের-প্রকৌশলী-আটক,"৬ নভেম্বর, ২০২০"
প্রতিবন্ধী কিশোরী ধর্ষণের অভিযোগে ৬০ বছরের বৃদ্ধ গ্রেফতার,https://www.jugantor.com/country-news/361438/প্রতিবন্ধী-কিশোরী-ধর্ষণের-অভিযোগে-৬০-বছরের-বৃদ্ধ-গ্রেফতার,"৪ নভেম্বর, ২০২০"
"দুমকিতে প্রতিবন্ধী কিশোরীকে ধর্ষণ, বৃদ্ধ গ্রেফতার",https://www.jugantor.com/country-news/361385/দুমকিতে-প্রতিবন্ধী-কিশোরীকে-ধর্ষণ-বৃদ্ধ-গ্রেফতার,"৪ নভেম্বর, ২০২০"
দুমকিতে নিখোঁজ অটোচালকের গলাকাটা লাশ উদ্ধার,https://www.jugantor.com/country-news/361375/দুমকিতে-নিখোঁজ-অটোচালকের-গলাকাটা-লাশ-উদ্ধার,"৪ নভেম্বর, ২০২০"
